Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1676104296.492832,2793,1676104296,486633552,base_link,101269.5,0.0
1676104296.5524852,2794,1676104296,546593560,base_link,101273.0,0.0
1676104296.59284,2795,1676104296,586549560,base_link,101270.0,0.0
1676104296.6706913,2796,1676104296,661491568,base_link,101274.25,0.0
1676104296.7160108,2797,1676104296,706462832,base_link,101271.5,0.0
1676104296.7709837,2798,1676104296,761409832,base_link,101276.2421875,0.0
1676104296.8327532,2799,1676104296,826361864,base_link,101277.5,0.0
1676104296.8699124,2800,1676104296,861329864,base_link,101281.75,0.0
1676104296.9322011,2801,1676104296,926282896,base_link,101276.9921875,0.0
1676104296.9902735,2802,1676104296,981230896,base_link,101270.2421875,0.0
1676104297.0519,2803,1676104297,46182184,base_link,101271.25,0.0
1676104297.0930233,2804,1676104297,86145184,base_link,101273.25,0.0
1676104297.1532218,2805,1676104297,146102728,base_link,101272.75,0.0
1676104297.210305,2806,1676104297,201064016,base_link,101276.75,0.0
1676104297.2524931,2807,1676104297,246022016,base_link,101272.25,0.0
1676104297.3305037,2808,1676104297,320964816,base_link,101264.75,0.0
1676104297.3714726,2809,1676104297,365924816,base_link,101268.75,0.0
1676104297.431668,2810,1676104297,425881872,base_link,101274.5,0.0
1676104297.4925516,2811,1676104297,485825872,base_link,101270.2421875,0.0
1676104297.5318406,2812,1676104297,525801928,base_link,101266.0,0.0
1676104297.5923188,2813,1676104297,585747928,base_link,101267.5,0.0
1676104297.653211,2814,1676104297,645705496,base_link,101269.9921875,0.0
1676104297.7126951,2815,1676104297,705663064,base_link,101272.25,0.0
1676104297.7546165,2816,1676104297,745625064,base_link,101269.9921875,0.0
1676104297.8155425,2817,1676104297,805583144,base_link,101268.25,0.0
1676104297.8718345,2818,1676104297,860532144,base_link,101267.75,0.0
1676104297.91448,2819,1676104297,905505224,base_link,101271.0,0.0
1676104297.9725666,2820,1676104297,965449224,base_link,101268.9921875,0.0
1676104298.0325787,2821,1676104298,25409560,base_link,101270.7421875,0.0
1676104298.0929976,2822,1676104298,85353560,base_link,101267.9921875,0.0
1676104298.1526585,2823,1676104298,145312408,base_link,101266.0,0.0
1676104298.1918063,2824,1676104298,185274408,base_link,101273.5,0.0
1676104298.252788,2825,1676104298,245234256,base_link,101273.0,0.0
1676104298.316506,2826,1676104298,305197616,base_link,101272.25,0.0
1676104298.3717165,2827,1676104298,365138616,base_link,101263.7421875,0.0
1676104298.4146109,2828,1676104298,405116720,base_link,101268.9921875,0.0
1676104298.4754703,2829,1676104298,465060720,base_link,101268.9921875,0.0
1676104298.5314085,2830,1676104298,525020848,base_link,101273.0,0.0
1676104298.5744307,2831,1676104298,564985848,base_link,101269.4921875,0.0
1676104298.634349,2832,1676104298,624944720,base_link,101271.25,0.0
1676104298.695584,2833,1676104298,684890720,base_link,101271.0,0.0
1676104298.7557747,2834,1676104298,744851848,base_link,101267.75,0.0
1676104298.8191042,2835,1676104298,804811464,base_link,101265.75,0.0
1676104298.8550973,2836,1676104298,844772464,base_link,101263.4921875,0.0
1676104298.9115367,2837,1676104298,904732592,base_link,101270.7421875,0.0
1676104298.9745932,2838,1676104298,964677592,base_link,101265.5,0.0
1676104299.016607,2839,1676104299,4655952,base_link,101269.7421875,0.0
1676104299.0756824,2840,1676104299,64599952,base_link,101274.25,0.0
1676104299.1363134,2841,1676104299,124561824,base_link,101274.75,0.0
1676104299.194543,2842,1676104299,184504824,base_link,101270.2421875,0.0
1676104299.2341676,2843,1676104299,224486464,base_link,101264.75,0.0
1676104299.2951334,2844,1676104299,284429464,base_link,101270.2421875,0.0
1676104299.35531,2845,1676104299,344390104,base_link,101270.2421875,0.0
1676104299.4165,2846,1676104299,404357024,base_link,101268.7421875,0.0
1676104299.4750004,2847,1676104299,464298024,base_link,101267.9921875,0.0
1676104299.5158863,2848,1676104299,504276920,base_link,101270.2421875,0.0
1676104299.5744154,2849,1676104299,564221920,base_link,101271.5,0.0
1676104299.634041,2850,1676104299,624183840,base_link,101267.7421875,0.0
1676104299.6735342,2851,1676104299,664146840,base_link,101273.25,0.0
1676104299.7335536,2852,1676104299,724107968,base_link,101270.7421875,0.0
1676104299.7938297,2853,1676104299,784051968,base_link,101271.25,0.0
1676104299.8589883,2854,1676104299,844015144,base_link,101266.25,0.0
1676104299.8962264,2855,1676104299,883978144,base_link,101274.0,0.0
1676104299.955971,2856,1676104299,943941832,base_link,101267.0,0.0
1676104300.0122454,2857,1676104300,3905032,base_link,101265.5,0.0
1676104300.0541956,2858,1676104300,43867032,base_link,101270.2421875,0.0
1676104300.136236,2859,1676104300,128809256,base_link,101269.2421875,0.0
1676104300.1726015,2860,1676104300,163776256,base_link,101268.75,0.0
1676104300.2327974,2861,1676104300,223741456,base_link,101268.4921875,0.0
1676104300.292575,2862,1676104300,283685456,base_link,101271.25,0.0
1676104300.3338654,2863,1676104300,323667168,base_link,101269.9921875,0.0
1676104300.393987,2864,1676104300,383612168,base_link,101273.0,0.0
1676104300.45568,2865,1676104300,448571112,base_link,101275.25,0.0
1676104300.5193212,2866,1676104300,508535080,base_link,101268.7421875,0.0
1676104300.5551486,2867,1676104300,543502080,base_link,101272.25,0.0
1676104300.6179717,2868,1676104300,603468304,base_link,101268.9921875,0.0
1676104300.6756632,2869,1676104300,663412304,base_link,101266.75,0.0
1676104300.7175694,2870,1676104300,703396784,base_link,101265.5,0.0
1676104300.7751422,2871,1676104300,763339784,base_link,101263.2421875,0.0
1676104300.8358002,2872,1676104300,823306520,base_link,101261.2421875,0.0
1676104300.8959777,2873,1676104300,883251520,base_link,101265.0,0.0
1676104300.9565406,2874,1676104300,943215744,base_link,101278.5,0.0
1676104300.9974663,2875,1676104300,983177744,base_link,101269.25,0.0
1676104301.0550735,2876,1676104301,43142736,base_link,101275.7421875,0.0
1676104301.1161795,2877,1676104301,103109496,base_link,101270.2421875,0.0
1676104301.1758046,2878,1676104301,163053496,base_link,101265.0,0.0
1676104301.2162032,2879,1676104301,208033512,base_link,101264.4921875,0.0
1676104301.2760503,2880,1676104301,267978512,base_link,101272.0,0.0
1676104301.336563,2881,1676104301,327946016,base_link,101269.9921875,0.0
1676104301.3751268,2882,1676104301,362914016,base_link,101273.25,0.0
1676104301.4349706,2883,1676104301,422878776,base_link,101272.75,0.0
1676104301.4957895,2884,1676104301,482822776,base_link,101266.9921875,0.0
1676104301.5371802,2885,1676104301,527805840,base_link,101268.4921875,0.0
1676104301.6164503,2886,1676104301,602758368,base_link,101267.7421875,0.0
1676104301.6567092,2887,1676104301,647717368,base_link,101267.75,0.0
1676104301.7180445,2888,1676104301,707683640,base_link,101258.75,0.0
1676104301.7741363,2889,1676104301,762632640,base_link,101264.5,0.0
1676104301.816406,2890,1676104301,807613400,base_link,101265.5,0.0
1676104301.8772056,2891,1676104301,867557400,base_link,101266.25,0.0
1676104301.9367967,2892,1676104301,927525160,base_link,101266.25,0.0
1676104301.99583,2893,1676104301,987468160,base_link,101262.25,0.0
1676104302.0355914,2894,1676104302,22460200,base_link,101260.5,0.0
1676104302.0957537,2895,1676104302,82404200,base_link,101259.7421875,0.0
