Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type_mask,orientation.x,orientation.y,orientation.z,orientation.w,body_rate.x,body_rate.y,body_rate.z,thrust
1676104311.3828702,1339,1676104311,368818304,,0,-0.02446011582829374,-0.0005822613463560933,-1.4245634796785842e-05,0.9997006559676046,0.024063117802143097,-0.005697029177099468,-0.011850745417177677,0.16377924382686615
1676104311.5095215,1340,1676104311,488895360,,0,-0.024361197174838672,-0.0010726715389167282,-2.613104607685729e-05,0.9997026790163331,0.0016666218871250749,-0.02506714873015881,-0.014247107319533821,0.1629544049501419
1676104311.6323016,1341,1676104311,620934016,,0,-0.02281872393519418,7.164569120141043e-05,1.6437270918411564e-06,0.9997396418024772,0.03664636239409447,0.017608435824513435,-0.012965007685124876,0.1623881459236145
1676104311.759166,1342,1676104311,739972928,,0,-0.024352164578367183,0.0013796507442237363,3.359103826309383e-05,0.9997024682820905,-0.012654181569814682,0.027899622917175293,-0.01107115484774113,0.16188760101795197
1676104311.8863316,1343,1676104311,869011584,,0,-0.022266602195334995,-0.000739584336590625,-1.647941776785158e-05,0.9997517800948483,0.02833763137459755,-0.02008221112191677,-0.011568257585167883,0.16144755482673645
1676104312.007477,1344,1676104311,990052288,,0,-0.021724639821600455,-0.002524093756343021,-5.4833049912729896e-05,0.9997607995204296,0.01827726885676384,-0.021212657913565636,-0.013837812468409537,0.1618737131357193
1676104312.133217,1345,1676104312,120130880,,0,-0.021386745244366078,-0.0024686634065616076,-5.281000118422826e-05,0.9997682173657676,0.007805208209902048,-0.01782775111496449,-0.01646745018661022,0.1628582626581192
1676104312.260698,1346,1676104312,249170048,,0,-0.019948406989224385,-0.0008963732472291829,-1.7870263768687136e-05,0.9998006282922725,0.013427427038550377,0.03501437231898308,-0.017039386555552486,0.1622723788022995
1676104312.384232,1347,1676104312,359209472,,0,-0.022377488578133632,0.0001792465954497238,4.003950608476819e-06,0.9997495884587257,-0.021451188251376152,0.03189530596137047,-0.019969433546066288,0.16432048380374908
1676104312.50813,1348,1676104312,497249408,,0,-0.02536703171455116,-0.002241424721548075,-5.689824548976938e-05,0.9996757050332861,-0.04921627417206764,-0.0101778618991375,-0.023422721773386,0.16343829035758972
1676104312.6352444,1349,1676104312,621329280,,0,-0.027868148194466095,-0.0003665577269443858,-1.0199537339705802e-05,0.9996115575298525,-0.04319656267762184,0.012425241991877552,-0.025177085772156715,0.16453197598457336
1676104312.7597845,1350,1676104312,738368960,,0,-0.02940462077655385,-0.0008841697589517553,-2.6004605531289407e-05,0.9995671768983706,-0.0800829604268074,0.018387788906693455,-0.02584156766533852,0.16113154590129852
1676104312.8854856,1351,1676104312,868409152,,0,-0.03166936324204052,0.0013107143051281057,4.1514645783148496e-05,0.9994975503046306,-0.06237170845270157,0.03463802486658096,-0.02298485115170479,0.16342498362064362
1676104313.0090091,1352,1676104312,998449344,,0,-0.03322667085527183,0.0010274927514909607,3.4181094142255586e-05,0.9994473112612056,-0.05064757913351059,0.024518985301256176,-0.022140331566333774,0.16482913494110107
1676104313.1352038,1353,1676104313,121529216,,0,-0.03280690404917152,0.0006438273553182623,2.1157717952392996e-05,0.9994615147491538,-0.01748250052332878,-0.0012298222864046715,-0.01846482791006565,0.16409391164779663
1676104313.2580035,1354,1676104313,240569664,,0,-0.03041067263595397,0.001274063669080835,3.8775100629941724e-05,0.9995367047268972,0.020359696820378304,0.0019714778754860145,-0.012449083849787712,0.16311028599739075
1676104313.3845532,1355,1676104313,370610368,,0,-0.029404009647250443,0.0015106115392592115,4.442277833041749e-05,0.9995664604019459,0.01660410314798355,-0.004694577772170306,-0.006466890219599008,0.16371220350265503
1676104313.5089836,1356,1676104313,489651328,,0,-0.02642527586038694,-0.00039638320771092343,-1.049456527927108e-05,0.9996507119521192,0.016847578808665276,-0.028250856325030327,-0.0019113435409963096,0.16434571146965027
1676104313.6357956,1357,1676104313,619734016,,0,-0.026257552476737837,0.000684201402013666,1.795455746556676e-05,0.9996549687838188,0.0023682392202317715,-0.006940492428839207,0.001121601555496455,0.164202481508255
1676104313.7612252,1358,1676104313,738775232,,0,-0.024477168179783446,0.00037417840399064147,9.188012975309459e-06,0.9997003187928165,0.025028303265571594,-0.016961460933089256,0.0012569872196763776,0.16057541966438293
1676104313.8854957,1359,1676104313,868816704,,0,-0.025860509407429975,0.00212921532283278,5.508593100366705e-05,0.9996632717129754,0.012074974365532398,0.015012760646641254,0.002323244931176303,0.16463427245616913
1676104314.0113082,1360,1676104313,988899392,,0,-0.02847459919768935,0.002199753342171824,6.263021688709445e-05,0.9995920856858406,-0.026463495567440987,0.009969773702323437,0.004284325055778026,0.16489870846271515
1676104314.1354604,1361,1676104314,110941376,,0,-0.02662620700939558,0.0014724778609799647,3.923871596358286e-05,0.9996443899248425,0.0045484439469873905,-0.030343668535351753,0.005828109569847587,0.16193638741970062
1676104314.258975,1362,1676104314,239983360,,0,-0.02578526411194787,0.0034546283413791194,8.909843775193292e-05,0.9996615436921865,0.011844122782349586,0.03048042021691799,0.008981449529528614,0.1638549119234085
1676104314.383494,1363,1676104314,369025344,,0,-0.024397448732914107,0.0003641724787363511,8.892985035724226e-06,0.9997022996946965,0.02050318568944931,-0.010948548093438147,0.009504825808107855,0.16595584154129028
1676104314.510254,1364,1676104314,488109312,,0,-0.027558914132763634,0.003563659604298771,9.824430387879924e-05,0.9996137913128237,-0.02523062191903591,0.050493501126766205,0.011468390934169286,0.1673150658607483
1676104314.6349673,1365,1676104314,619151552,,0,-0.028242327915545814,0.002427636083714164,6.861506937564108e-05,0.9995981548320261,-0.0315682590007782,-0.01031750626862049,0.012028013356029989,0.16655181348323822
1676104314.7608612,1366,1676104314,741194048,,0,-0.028673027877567654,-0.0007463811744575147,-2.141059904361259e-05,0.9995885453505656,-0.044768765568733215,-0.06652683019638062,0.009891233406960973,0.16498976945877075
1676104314.8848813,1367,1676104314,869236544,,0,-0.02964209456031045,-0.004192391802405232,-0.00012433320310719918,0.9995517932986641,-0.04711262881755829,-0.07377814501523972,0.00999382697045804,0.16338305175304413
1676104315.0109098,1368,1676104314,998321280,,0,-0.030050767525629286,-0.0008373907083717096,-2.5161668561103775e-05,0.9995480422291466,-0.022060496732592583,0.017752746120095256,0.014199595898389815,0.167133167386055
1676104315.135038,1369,1676104315,109364288,,0,-0.030821778264685296,-0.0009510739296957504,-2.929205971515012e-05,0.9995244399939806,-0.021792810410261154,0.0005356618203222774,0.018300481140613556,0.16601897776126862
1676104315.2622924,1370,1676104315,236407296,,0,-0.028290766498285973,-0.0026787140799167915,-7.582218047119937e-05,0.9995961739301461,0.04449198767542839,-0.030481206253170964,0.02137629128992558,0.16210435330867767
1676104315.387168,1371,1676104315,368450304,,0,-0.026935858588316104,-0.0032575562631873803,-8.779188544825903e-05,0.9996318301639863,0.04469001293182373,-0.00666266959160566,0.025848189368844032,0.1644642949104309
1676104315.510535,1372,1676104315,489536832,,0,-0.024183052324350744,-0.002988891835899193,-7.228184519624767e-05,0.9997030583379697,0.05421844497323036,0.012245626188814644,0.026069659739732742,0.16245250403881073
1676104315.634346,1373,1676104315,617580096,,0,-0.02465329722553244,-0.001994930195121128,-4.9185372212317646e-05,0.9996940389123884,0.010464244522154331,0.01986857131123543,0.02511082589626312,0.16358329355716705
1676104315.762847,1374,1676104315,736623360,,0,-0.024370052622837517,-0.005117136464127266,-0.0001247125247437882,0.9996899085212343,0.00906425528228283,-0.045182306319475174,0.021399438381195075,0.1652095466852188
1676104315.885262,1375,1676104315,866666624,,0,-0.025252102527018015,-0.006549849432081771,-0.00016542638040535306,0.9996596470840035,0.009298130869865417,-0.042399656027555466,0.017817778512835506,0.16144344210624695
1676104316.0111756,1376,1676104315,998753920,,0,-0.028733248480100136,-0.006720482923911648,-0.0001932011535740442,0.9995645216469145,-0.04824363812804222,-0.027084512636065483,0.012778984382748607,0.1606641262769699
1676104316.136575,1377,1676104316,120797952,,0,-0.02978779094725655,-0.004017002960683211,-0.00011969704977102377,0.9995481686696922,-0.05437636747956276,0.03484935685992241,0.010507466271519657,0.16151519119739532
1676104316.2611496,1378,1676104316,246841728,,0,-0.03318461883717009,-0.0014916902384559732,-4.9522547000380264e-05,0.9994481541981758,-0.06577592343091965,0.05538874864578247,0.009958659298717969,0.16183970868587494
1676104316.3868458,1379,1676104316,366886016,,0,-0.03149969846918188,-0.0034863451619727022,-0.00010983468721945862,0.9994976767451761,0.003753755707293749,0.013499142602086069,0.010047506541013716,0.16337652504444122
1676104316.5114872,1380,1676104316,499974592,,0,-0.03214930257692423,-0.0021763789634056067,-7.000591537666179e-05,0.9994806915652262,-0.005111270118504763,0.03784540668129921,0.01163954939693212,0.162178635597229
1676104316.6376324,1381,1676104316,617019136,,0,-0.028204805366569972,-0.003426309610446968,-9.668487048406365e-05,0.9995963003706916,0.03044472634792328,0.010662134736776354,0.013021413236856459,0.1639317274093628
1676104316.761633,1382,1676104316,750063424,,0,-0.027509552270623284,-0.004556065104404593,-0.00012538687431998778,0.999611178208216,0.018189046531915665,-0.019322445616126057,0.014415474608540537,0.16141612827777863
1676104316.887174,1383,1676104316,870107968,,0,-0.023513069556808874,-0.005284096594691616,-0.00012429105625869953,0.9997095489526404,0.06126676872372627,-0.023241907358169556,0.009590348228812221,0.16228081285953522
1676104317.0102093,1384,1676104316,989196800,,0,-0.022711535279807866,-0.006764961678525309,-0.00015370955651929094,0.9997191584341009,0.049718908965587616,-0.013547235168516636,0.004389782436192037,0.16468608379364014
1676104317.137258,1385,1676104317,119241856,,0,-0.023269429162279524,-0.009414169013217368,-0.0002191214654082101,0.999684850899413,0.010322046466171741,-0.04969814047217369,-0.003562156343832606,0.16488710045814514
1676104317.2606068,1386,1676104317,238287168,,0,-0.02231539507502045,-0.0048905220793073,-0.00010916033764328958,0.9997390095997495,0.019109226763248444,0.036294855177402496,-0.007299381308257584,0.16576355695724487
1676104317.387216,1387,1676104317,367332224,,0,-0.023603278959145872,-0.005145850321764327,-0.00012146721740845302,0.9997081581066395,-0.002425540704280138,0.0009802707936614737,-0.01198316179215908,0.16081640124320984
1676104317.5112805,1388,1676104317,489422848,,0,-0.024367856376903394,-0.0035243984978219757,-8.58952772652957e-05,0.9996968627512386,0.006784415803849697,0.011675322428345679,-0.016343824565410614,0.16072462499141693
1676104317.6374526,1389,1676104317,621467904,,0,-0.025709885790475152,-0.0029863096828833934,-7.679155798694759e-05,0.9996649997337644,-0.014043472707271576,0.00026466537383384775,-0.018395956605672836,0.16302739083766937
