Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104301.8085887,1572,1676104301,794856640,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.9104688,1573,1676104301,886878400,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.0114717,1574,1676104301,994923200,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.1103644,1575,1676104302,86946240,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.210755,1576,1676104302,194969792,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.3105807,1577,1676104302,286993088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.408984,1578,1676104302,394993088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.5116954,1579,1676104302,503040192,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.6109412,1580,1676104302,599064512,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.7093775,1581,1676104302,691064512,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.8114297,1582,1676104302,795113152,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.9116938,1583,1676104302,903137728,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.0101173,1584,1676104302,999162048,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.1102962,1585,1676104303,91188160,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.2116315,1586,1676104303,199213504,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
