Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676104312.4815748,8055,1676104312,465941408,base_link,2.71296501159668e-05,1.3006573915481564e-05,-2.9375442862510684e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.5019507,8056,1676104312,490836408,base_link,2.7951568365097046e-05,1.2816628813743589e-05,-2.9603424668312073e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.524646,8057,1676104312,510460088,base_link,2.680133879184723e-05,1.2217345833778378e-05,-2.9940038919448855e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.541655,8058,1676104312,530228088,base_link,2.6305183768272402e-05,1.285605877637863e-05,-2.9928946495056155e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.5633483,8059,1676104312,549997088,base_link,2.689211964607239e-05,1.2765926122665403e-05,-3.0310761928558352e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.5840313,8060,1676104312,569766088,base_link,2.675199806690216e-05,1.2803357839584347e-05,-2.9261970520019534e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.6021662,8061,1676104312,589536088,base_link,2.7639412879943848e-05,1.3086952269077297e-05,-2.9604214429855348e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.6227877,8062,1676104312,609343280,base_link,2.6449790596961975e-05,1.2802927196025846e-05,-2.976134419441223e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.643121,8063,1676104312,629126280,base_link,2.6764994859695435e-05,1.2270648777484892e-05,-2.9462540149688724e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.6618783,8064,1676104312,648882280,base_link,2.7452003955841067e-05,1.3009089231491086e-05,-3.055688142776489e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.6812062,8065,1676104312,668649280,base_link,2.7011272311210635e-05,1.2042348831892011e-05,-2.9730424284935e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.7024956,8066,1676104312,688418280,base_link,2.7382761240005493e-05,1.2218904495239255e-05,-2.998839318752289e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.7264078,8067,1676104312,708226960,base_link,2.6263234019279482e-05,1.2998817861080167e-05,-2.9061573743820193e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.7417355,8068,1676104312,727996960,base_link,2.7370071411132813e-05,1.3338315486907957e-05,-3.013233244419098e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.7625806,8069,1676104312,747763960,base_link,2.678438425064087e-05,1.247591897845268e-05,-2.8726619482040408e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.7819347,8070,1676104312,767532960,base_link,2.7413707971572876e-05,1.289916783571243e-05,-2.983037829399109e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.8037984,8071,1676104312,792244960,base_link,2.7058976888656618e-05,1.2483188509941098e-05,-3.0453231930732728e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.822263,8072,1676104312,807111152,base_link,2.671199440956116e-05,1.24641016125679e-05,-2.9064843058586122e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.8433378,8073,1676104312,831821152,base_link,2.7583855390548707e-05,1.2366507947444914e-05,-2.9775041341781617e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.8633754,8074,1676104312,851591152,base_link,2.6799368858337404e-05,1.340958476066589e-05,-2.824576497077942e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.882206,8075,1676104312,866416152,base_link,2.7354753017425537e-05,1.2974999845027921e-05,-3.054397702217102e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.903821,8076,1676104312,891127152,base_link,2.7175822854042055e-05,1.2835586071014402e-05,-2.8913673758506776e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
