Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1676104303.4615293,3194,1676104303,451898960,,671,873,780,710,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.510337,3195,1676104303,501875560,,414,798,597,549,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.5606353,3196,1676104303,551817560,,730,598,698,657,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.611878,3197,1676104303,601797672,,634,734,746,726,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.6595414,3198,1676104303,651751672,,771,805,815,818,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.7117252,3199,1676104303,701751528,,694,793,715,690,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.7617428,3200,1676104303,751693528,,738,566,668,705,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.8105679,3201,1676104303,801669152,,628,723,624,672,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.860364,3202,1676104303,851622152,,487,860,611,693,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.9134355,3203,1676104303,904098264,,825,669,686,680,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104303.9600859,3204,1676104303,951552264,,776,586,651,533,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.012322,3205,1676104304,1537888,,859,603,597,451,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.0597537,3206,1676104304,51487888,,919,739,457,785,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.112078,3207,1676104304,101233512,,780,736,664,701,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.1615326,3208,1676104304,153117512,,839,723,714,931,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.2112172,3209,1676104304,200106648,,281,746,1069,885,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.2617142,3210,1676104304,251989648,,561,758,736,890,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.3168182,3211,1676104304,303904528,,668,661,773,790,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.3606207,3212,1676104304,351117528,,618,728,634,759,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.4115608,3213,1676104304,400329664,,421,626,618,509,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.4599178,3214,1676104304,449725664,,407,564,283,487,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.511856,3215,1676104304,501660056,,522,629,370,571,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.5609827,3216,1676104304,551070056,,123,897,908,109,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.6106558,3217,1676104304,600541216,,349,137,109,375,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.6599817,3218,1676104304,649939216,,386,303,177,351,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.7117023,3219,1676104304,701863120,,456,559,516,497,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.7597406,3220,1676104304,751285120,,612,512,547,607,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.8109756,3221,1676104304,800739768,,596,713,613,703,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.861076,3222,1676104304,852622768,,665,752,660,610,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.9167373,3223,1676104304,902081184,,605,756,567,526,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104304.9601038,3224,1676104304,951506184,,543,607,620,557,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.01164,3225,1676104305,3417088,,534,545,472,481,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.0614004,3226,1676104305,50665088,,479,480,537,487,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.1136053,3227,1676104305,102319504,,512,560,497,448,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.1612883,3228,1676104305,151715504,,521,573,500,464,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.2118046,3229,1676104305,201172432,,551,589,550,441,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.262334,3230,1676104305,253047432,,568,569,471,555,1054,1054,0,0,0,0,0,0,0,0,0,0
