Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1676104298.1088808,1532,1676104298,108250567,,370229332000,1676103927878733945,1676103927875185408,0.36381399631500244
1676104298.2090166,1533,1676104298,208346432,,370329320000,1676103927878799360,1676103927875200256,0.4465619921684265
1676104298.3093722,1534,1676104298,308423152,,370429234000,1676103927878925136,1676103927875215616,0.5208399891853333
1676104298.408882,1535,1676104298,408386008,,370529252000,1676103927878889100,1676103927875230720,0.48371899127960205
1676104298.5095837,1536,1676104298,508916518,,370629109000,1676103927879293748,1676103927875246848,1.0205529928207397
1676104298.608827,1537,1676104298,608312685,,370728993000,1676103927879143050,1676103927875262720,0.3479680120944977
1676104298.708884,1538,1676104298,708310512,,370828880000,1676103927879218239,1676103927875278848,0.4191890060901642
1676104298.810338,1539,1676104298,809027923,,370929488000,1676103927879039394,1676103927875294464,0.9962570071220398
1676104298.9094224,1540,1676104298,908753821,,371029143000,1676103927879179780,1676103927875310592,0.8552610278129578
1676104299.011926,1541,1676104299,10074882,,371130378000,1676103927879003221,1676103927875325952,1.3802239894866943
1676104299.1100318,1542,1676104299,108900710,,371229211000,1676103927879193343,1676103927875341824,0.9865990281105042
1676104299.2091663,1543,1676104299,208592586,,371328821000,1676103927879432084,1676103927875358464,0.6738690137863159
1676104299.3099194,1544,1676104299,309126824,,371429223000,1676103927879342706,1676103927875375104,1.1153980493545532
1676104299.4099977,1545,1676104299,409594032,,371528943000,1676103927879798726,1676103927875393024,1.6981990337371826
1676104299.5098531,1546,1676104299,509202568,,371629116000,1676103927879436281,1676103927875409920,1.2939939498901367
1676104299.6087039,1547,1676104299,608321446,,371728233000,1676103927879887241,1676103927875427840,0.3972190022468567
1676104299.710268,1548,1676104299,709836520,,371829589000,1676103927879277665,1676103927875443968,1.93300199508667
1676104299.8093865,1549,1676104299,808404713,,371928163000,1676103927879992344,1676103927875462144,0.4919559955596924
1676104299.908935,1550,1676104299,908309746,,372027966000,1676103927880131978,1676103927875480832,0.4168449938297272
1676104300.0095143,1551,1676104300,9089677,,372128184000,1676103927880344218,1676103927875500032,1.1158759593963623
1676104300.1105855,1552,1676104300,109702208,,372228447000,1676103927880646641,1676103927875520256,1.209962010383606
1676104300.2092314,1553,1676104300,208321509,,372327773000,1676103927880331789,1676103927875539456,0.42726999521255493
1676104300.3089967,1554,1676104300,308484309,,372427679000,1676103927880506094,1676103927875559168,0.5922960042953491
1676104300.4098947,1555,1676104300,408840100,,372528121000,1676103927880248020,1676103927875578112,0.9369509816169739
1676104300.5091276,1556,1676104300,508337625,,372627492000,1676103927880612754,1676103927875598080,0.4585149884223938
1676104300.6112075,1557,1676104300,610549657,,372728616000,1676103927880608482,1676103927875618304,2.6442339420318604
1676104300.7101283,1558,1676104300,709248701,,372827821000,1676103927880742060,1676103927875638784,1.3645919561386108
1676104300.8095825,1559,1676104300,808434262,,372927412000,1676103927880786852,1676103927875659520,0.46409299969673157
1676104300.9093964,1560,1676104300,908619745,,373027510000,1676103927880741554,1676103927875679744,0.7300059795379639
1676104301.0094516,1561,1676104301,8344313,,373127141000,1676103927880980861,1676103927875700736,0.4378249943256378
1676104301.1099796,1562,1676104301,109592919,,373227556000,1676103927881176966,1676103927875722496,1.7131420373916626
1676104301.2100809,1563,1676104301,209118209,,373327235000,1676103927881264378,1676103927875744512,1.231436014175415
1676104301.3089437,1564,1676104301,308368028,,373426978000,1676103927881148322,1676103927875766016,0.4764440059661865
1676104301.4092133,1565,1676104301,408375489,,373526924000,1676103927881208958,1676103927875787776,0.47857600450515747
1676104301.5108454,1566,1676104301,509982531,,373626921000,1676103927882034664,1676103927875811840,2.0475990772247314
1676104301.6095843,1567,1676104301,608759074,,373727021000,1676103927881426996,1676103927875834368,0.6152819991111755
1676104301.7088535,1568,1676104301,708293982,,373826661000,1676103927881434917,1676103927875856640,0.3901059925556183
1676104301.8110952,1569,1676104301,810330695,,373927852000,1676103927881267357,1676103927875878400,2.4164860248565674
1676104301.9106476,1570,1676104301,909201508,,374027381000,1676103927881229428,1676103927875900160,1.1766749620437622
1676104302.0087662,1571,1676104302,8291692,,374126419000,1676103927881667904,1676103927875923200,0.40340399742126465
1676104302.1087933,1572,1676104302,108307713,,374226360000,1676103927881737477,1676103927875946240,0.41539400815963745
1676104302.208827,1573,1676104302,208325791,,374326274000,1676103927881825331,1676103927875969792,0.44648900628089905
1676104302.3091307,1574,1676104302,308540911,,374426446000,1676103927881765344,1676103927875993088,0.6533709764480591
1676104302.4098516,1575,1676104302,409422521,,374526849000,1676103927881810400,1676103927876016384,1.518867015838623
1676104302.509089,1576,1676104302,508591966,,374626381000,1676103927881991910,1676103927876040192,0.4324049949645996
1676104302.608872,1577,1676104302,608370141,,374726079000,1676103927882056583,1676103927876064512,0.4635370075702667
1676104302.7105618,1578,1676104302,709655378,,374826708000,1676103927882070030,1676103927876088832,1.746817946434021
1676104302.8089411,1579,1676104302,808446158,,374925975000,1676103927882156119,1676103927876113152,0.623553991317749
1676104302.908905,1580,1676104302,908354976,,375025826000,1676103927882288090,1676103927876137728,0.475490003824234
1676104303.009569,1581,1676104303,9025575,,375126366000,1676103927882216439,1676103927876162048,0.8796190023422241
1676104303.1102524,1582,1676104303,108897541,,375225624000,1676103927882762313,1676103927876188160,1.0162099599838257
1676104303.2087474,1583,1676104303,208324953,,375325600000,1676103927882507244,1676103927876213504,0.43123000860214233
1676104303.3087428,1584,1676104303,308243134,,375425472000,1676103927882593201,1676103927876239104,0.35051000118255615
1676104303.4093919,1585,1676104303,408439982,,375525463000,1676103927882702578,1676103927876264960,0.5433970093727112
1676104303.5098262,1586,1676104303,508302905,,375625398000,1676103927882699843,1676103927876290560,0.4046199917793274
1676104303.6089294,1587,1676104303,608270990,,375725296000,1676103927882783650,1676103927876316672,0.37623101472854614
1676104303.7093313,1588,1676104303,708685926,,375825616000,1676103927882663629,1676103927876342528,0.8066269755363464
1676104303.809779,1589,1676104303,808607258,,375925185000,1676103927883068820,1676103927876369152,0.7008339762687683
1676104303.9091794,1590,1676104303,908693310,,376025461000,1676103927882890352,1676103927876395264,0.6779299974441528
1676104304.0092502,1591,1676104304,8632498,,376125275000,1676103927882988704,1676103927876421888,0.7307109832763672
1676104304.1090727,1592,1676104304,108625604,,376225251000,1676103927883003772,1676103927876448512,0.7345849871635437
1676104304.210253,1593,1676104304,208954316,,376325182000,1676103927883233774,1676103927876475648,1.0700969696044922
1676104304.3092277,1594,1676104304,308718701,,376425171000,1676103927883140716,1676103927876502528,0.807187020778656
1676104304.4091563,1595,1676104304,408559042,,376525033000,1676103927883188297,1676103927876529664,0.669189989566803
