Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469335.7418835,46,1676469335,740023851,,3.107971818244891,4.503027645179314,1.0058193672831934
1676469335.7525222,47,1676469335,750092744,,3.085873474712351,4.515328792851839,1.0037235803165878
1676469335.7629611,48,1676469335,761530160,,3.10171834116241,4.53092233460233,1.0124241476199396
1676469335.7759814,49,1676469335,770161390,,3.1561147755497183,4.5664775619736195,1.0070988366941702
1676469335.7822733,50,1676469335,780172348,,3.0913453529788715,4.585316798332289,1.0136630026261284
1676469335.7917264,51,1676469335,790121078,,3.195969894932837,4.666183771272104,1.0042098864419433
1676469335.8021684,52,1676469335,800484180,,3.234969506293361,4.725222729572349,1.0058640078657144
1676469335.8119228,53,1676469335,810075044,,3.337255085675111,4.829263877303576,1.0157915241985342
1676469335.8219361,54,1676469335,820024251,,3.4661396864088165,4.88813768597302,0.9944742442107974
1676469335.8338745,55,1676469335,830234289,,3.4112334402686577,4.968250557041917,1.010023522183305
1676469335.8413105,56,1676469335,839970588,,3.433604572535104,5.017440726317199,0.9795641613169821
1676469335.8520157,57,1676469335,850616693,,3.4931757380607764,5.094586044791622,0.9893019963885386
1676469335.863306,58,1676469335,861895084,,3.493204498435392,5.1257728773684255,0.9795533191562141
1676469335.8720002,59,1676469335,870310306,,3.5146162945569728,5.18949749966049,0.9803074106709077
1676469335.8816612,60,1676469335,880048036,,3.5004340752872216,5.23016882240722,0.9804830476226747
1676469335.891357,61,1676469335,890032052,,3.534520562791324,5.2642032877386065,0.979035369417771
1676469335.9021802,62,1676469335,900051593,,3.6146141704565182,5.300027652293599,0.9803700623419013
1676469335.9120507,63,1676469335,910191535,,3.571406436523184,5.329031419477214,0.9753560249873232
1676469335.9227753,64,1676469335,921108245,,3.4712235775036713,5.3222643218498495,1.0287006576302054
1676469335.9321659,65,1676469335,930273532,,3.5743761281907385,5.3477442270971265,1.0578360230190447
1676469335.9417846,66,1676469335,940102815,,3.607511714596933,5.3672171650494125,1.073014455278421
1676469335.9564712,67,1676469335,950011491,,3.488186682138553,5.34322689659491,1.0953933671585168
1676469335.966519,68,1676469335,962843418,,3.5997877372476395,5.379760890576554,1.0865142636179497
1676469335.973542,69,1676469335,970906257,,3.5902387857592095,5.389063765902046,1.0960483542730939
1676469335.9825785,70,1676469335,980530738,,3.5772289333621337,5.379637232079611,1.1113878747441814
1676469335.9916291,71,1676469335,990058898,,3.6929569862038742,5.391066524759729,0.9543250600755215
1676469336.001442,72,1676469336,105142,,3.7734714099668403,5.441214333231684,0.6763681292875662
1676469336.0134642,73,1676469336,10024547,,5.282788347710788,6.400439479899726,0.26597507151940886
1676469336.022126,74,1676469336,20239591,,6.572152419444582,7.326600714070226,0.4892293708718192
1676469336.0322304,75,1676469336,30100584,,8.480992512848358,8.549268888390795,0.7273006047694357
1676469336.0415075,76,1676469336,40104866,,12.118401204964647,10.57379142020693,1.2044055683225587
1676469336.0519147,77,1676469336,50102233,,14.238635903473424,11.781867292632468,1.5201976227692104
1676469336.065994,78,1676469336,62031507,,16.261771339042056,13.296290925441834,1.9784023406081555
1676469336.072127,79,1676469336,70319890,,17.322428842180983,14.209861842331836,2.2193679836082194
1676469336.0820935,80,1676469336,80246448,,17.92081113807858,14.743775758667043,2.3798290099350714
1676469336.0943933,81,1676469336,90230941,,18.821045172152274,15.422225811621997,2.5112273545705115
1676469336.1014836,82,1676469336,99948644,,19.311698473181405,15.65268969506283,2.6688379022872555
1676469336.112751,83,1676469336,110308885,,19.660764586019962,15.806723854857893,2.6590737099496593
1676469336.122157,84,1676469336,120828390,,19.931194007237373,15.888441891552928,2.683924478951513
1676469336.1317344,85,1676469336,130056619,,19.867494194339624,15.887534762738971,2.662399617537404
1676469336.1427374,86,1676469336,140061616,,19.64210025896412,15.835932257980808,2.53209316172358
1676469336.153251,87,1676469336,150194168,,19.323970406498912,15.771652950602666,2.464692058886663
1676469336.1627698,88,1676469336,160178899,,19.113900897653547,15.707932365805869,2.398938851823376
1676469336.1717567,89,1676469336,170105934,,18.081604373128886,15.352947015891333,2.28659980590413
1676469336.182164,90,1676469336,180223941,,17.35632151578129,15.054725231104307,2.1158697251502017
1676469336.1918378,91,1676469336,190076112,,16.116161899321707,14.449604931267992,1.817642638563707
1676469336.2013617,92,1676469336,200175523,,15.205739455609365,14.080975875003316,1.5974629767939577
1676469336.2164707,93,1676469336,210246324,,14.376310086612053,13.649302970706843,1.42289213072268
1676469336.2219834,94,1676469336,220520973,,12.638680778669745,12.842566887120933,1.0666106737844019
1676469336.2320504,95,1676469336,229930400,,11.904145637547302,12.406434552812629,0.9233994481654301
1676469336.2415564,96,1676469336,240164756,,10.376932926697387,11.52795923271256,0.6002677263581458
1676469336.2518516,97,1676469336,250243902,,9.658071022306967,11.118531186105029,0.41073002203963344
1676469336.2652454,98,1676469336,260693550,,8.263283108684263,10.333676793673842,0.17868221777036564
1676469336.2729585,99,1676469336,270463705,,7.3342016990505305,9.767394315209984,0.014199977325287948
1676469336.281672,100,1676469336,280086994,,6.41591405997271,9.199389648274405,-0.13256316763742138
1676469336.2916331,101,1676469336,290114164,,5.164729940355814,8.427423490405952,-0.1996963133281591
1676469336.3028471,102,1676469336,300769090,,4.48994090778137,8.024760796728954,-0.35122758688059025
1676469336.313257,103,1676469336,310043573,,3.3562572996245605,7.295198308162412,-0.5067766653098084
1676469336.3226345,104,1676469336,320183277,,2.497598427028825,6.7046511787812975,-0.5662925944353198
1676469336.334537,105,1676469336,330247163,,2.0049784003412077,6.405950017019275,-0.6588466921406319
1676469336.3427596,106,1676469336,340761184,,1.0693874981571043,5.844361653380452,-0.8727277849782078
1676469336.3520288,107,1676469336,350232601,,0.35684260703467996,5.373230158383719,-0.9073081316555217
1676469336.364631,108,1676469336,361542224,,-0.42625442086221266,4.804252234430432,-0.8671198398942146
1676469336.3723593,109,1676469336,370173215,,-1.0497942016443917,4.42455749359162,-0.9520567091681117
1676469336.3820882,110,1676469336,380471467,,-1.7181373650139589,3.9359360028187917,-1.1261689327118385
1676469336.3914373,111,1676469336,390052080,,-2.6194749365051013,3.3886688479014313,-1.2432409182546473
1676469336.4016752,112,1676469336,400104045,,-2.6194749365051013,3.3886688479014313,-1.2432409182546473
1676469336.4154983,113,1676469336,410838127,,-2.9875305596309314,2.901193042204431,-1.2045426122639642
1676469336.4223373,114,1676469336,420467615,,-4.453631468554467,2.024530370032957,-1.2330808134559836
1676469336.4327428,115,1676469336,430048465,,-4.763521004719139,1.7467949127065732,-1.2472558670753586
1676469336.4416864,116,1676469336,440070152,,-5.701403242605755,1.1400080306912619,-1.2984338022990982
1676469336.4522002,117,1676469336,450444459,,-6.200605430447331,0.899354794223501,-1.304689702099024
