Time,transforms
1676469335.12472,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 813499247
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298521041870117
    y: -0.5838487148284912
    z: 0.12473157793283463
  rotation: 
    x: -0.019343772903084755
    y: 0.04679490253329277
    z: -0.0010480618802830577
    w: -0.9987166523933411]"
1676469335.124736,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 813548079
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298636674880981
    y: -0.5838415026664734
    z: 0.12474697828292847
  rotation: 
    x: -0.019137388095259666
    y: 0.04689867049455643
    z: -0.0010477795731276274
    w: -0.9987158179283142]"
1676469335.1247647,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 823350873
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298578262329102
    y: -0.5838449001312256
    z: 0.12474416941404343
  rotation: 
    x: -0.01929061859846115
    y: 0.04698909819126129
    z: -0.0011142801959067583
    w: -0.9987085461616516]"
1676469335.124792,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 823477390
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329870343208313
    y: -0.5838493704795837
    z: 0.12475776672363281
  rotation: 
    x: -0.018942667171359062
    y: 0.04704273119568825
    z: -0.0010169943561777472
    w: -0.9987127780914307]"
1676469335.1248214,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 833395719
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298555612564087
    y: -0.5838406682014465
    z: 0.12474414706230164
  rotation: 
    x: -0.01901995576918125
    y: 0.047000620514154434
    z: -0.0010889251716434956
    w: -0.9987132549285889]"
1676469335.1248512,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 833950469
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298187255859375
    y: -0.5838773846626282
    z: 0.12463944405317307
  rotation: 
    x: -0.021775774657726288
    y: 0.04693517088890076
    z: -0.0016193195478990674
    w: -0.9986592531204224]"
1676469335.1248853,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 834329538
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298169374465942
    y: -0.5838780403137207
    z: 0.12463000416755676
  rotation: 
    x: -0.021818842738866806
    y: 0.04687689244747162
    z: -0.00169196049682796
    w: -0.9986609220504761]"
1676469335.1249194,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 843359047
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298207521438599
    y: -0.5838819742202759
    z: 0.12463844567537308
  rotation: 
    x: -0.021850408986210823
    y: 0.046895597130060196
    z: -0.0016648811288177967
    w: -0.9986593723297119]"
1676469335.1249328,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 843428565
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298187255859375
    y: -0.5838811993598938
    z: 0.12462788820266724
  rotation: 
    x: -0.0219308789819479
    y: 0.04681936651468277
    z: -0.0016746589681133628
    w: -0.9986612200737]"
1676469335.124952,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 853359949
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298155069351196
    y: -0.5838773250579834
    z: 0.12463008612394333
  rotation: 
    x: -0.02189357578754425
    y: 0.046824902296066284
    z: -0.0015890478389337659
    w: -0.9986619353294373]"
