Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,temperature,variance
1676469263.3185356,2666,1676469263,315573160,base_link,25.239999771118164,0.0
1676469263.3591604,2667,1676469263,355537160,base_link,25.239999771118164,0.0
1676469263.418475,2668,1676469263,415490136,base_link,25.239999771118164,0.0
1676469263.4795372,2669,1676469263,475430112,base_link,25.229999542236328,0.0
1676469263.5388813,2670,1676469263,535379112,base_link,25.239999771118164,0.0
1676469263.5806715,2671,1676469263,570346832,base_link,25.239999771118164,0.0
1676469263.6373942,2672,1676469263,630293832,base_link,25.239999771118164,0.0
1676469263.6979144,2673,1676469263,690240808,base_link,25.239999771118164,0.0
1676469263.7370453,2674,1676469263,730208808,base_link,25.239999771118164,0.0
1676469263.8193226,2675,1676469263,815132784,base_link,25.239999771118164,0.0
1676469263.8575134,2676,1676469263,850100784,base_link,25.239999771118164,0.0
1676469263.918676,2677,1676469263,915045760,base_link,25.25,0.0
1676469263.9782116,2678,1676469263,969997736,base_link,25.239999771118164,0.0
1676469264.0175004,2679,1676469264,9959736,base_link,25.239999771118164,0.0
1676469264.0787704,2680,1676469264,69906968,base_link,25.239999771118164,0.0
1676469264.1387951,2681,1676469264,134850968,base_link,25.25,0.0
1676469264.1963549,2682,1676469264,189801944,base_link,25.25,0.0
1676469264.2369366,2683,1676469264,229766944,base_link,25.25,0.0
1676469264.297563,2684,1676469264,289713920,base_link,25.25,0.0
1676469264.358611,2685,1676469264,354657920,base_link,25.25,0.0
1676469264.3985107,2686,1676469264,394622896,base_link,25.25,0.0
1676469264.4585454,2687,1676469264,454570896,base_link,25.25,0.0
1676469264.5185382,2688,1676469264,514516872,base_link,25.25,0.0
1676469264.579099,2689,1676469264,574462336,base_link,25.25,0.0
1676469264.6384034,2690,1676469264,634410336,base_link,25.25,0.0
1676469264.6789165,2691,1676469264,674376800,base_link,25.25,0.0
1676469264.738306,2692,1676469264,734324800,base_link,25.25,0.0
1676469264.7962995,2693,1676469264,789273520,base_link,25.25,0.0
1676469264.8390403,2694,1676469264,834237520,base_link,25.25,0.0
1676469264.898217,2695,1676469264,894183240,base_link,25.25,0.0
1676469264.958706,2696,1676469264,954130240,base_link,25.25,0.0
1676469265.0163972,2697,1676469265,9079704,base_link,25.25,0.0
1676469265.057502,2698,1676469265,54042704,base_link,25.260000228881836,0.0
1676469265.1173959,2699,1676469265,113989424,base_link,25.25,0.0
1676469265.1780326,2700,1676469265,168939400,base_link,25.260000228881836,0.0
1676469265.2367027,2701,1676469265,228886400,base_link,25.260000228881836,0.0
1676469265.2961822,2702,1676469265,288834376,base_link,25.260000228881836,0.0
1676469265.3366597,2703,1676469265,328798376,base_link,25.260000228881836,0.0
1676469265.3964684,2704,1676469265,388744352,base_link,25.25,0.0
1676469265.4564002,2705,1676469265,453688352,base_link,25.25,0.0
1676469265.4976377,2706,1676469265,493653072,base_link,25.260000228881836,0.0
1676469265.5569334,2707,1676469265,553602072,base_link,25.260000228881836,0.0
1676469265.617099,2708,1676469265,613546536,base_link,25.260000228881836,0.0
1676469265.6792767,2709,1676469265,673493256,base_link,25.260000228881836,0.0
1676469265.7163174,2710,1676469265,713459256,base_link,25.260000228881836,0.0
1676469265.7794018,2711,1676469265,773405232,base_link,25.260000228881836,0.0
1676469265.8376372,2712,1676469265,833355232,base_link,25.260000228881836,0.0
1676469265.879197,2713,1676469265,873317208,base_link,25.260000228881836,0.0
1676469265.9576483,2714,1676469265,953248208,base_link,25.260000228881836,0.0
1676469265.9969318,2715,1676469265,993214440,base_link,25.260000228881836,0.0
1676469266.0561051,2716,1676469266,53161440,base_link,25.260000228881836,0.0
1676469266.1167586,2717,1676469266,113108672,base_link,25.26999855041504,0.0
1676469266.17961,2718,1676469266,173055648,base_link,25.26999855041504,0.0
1676469266.2161627,2719,1676469266,208024648,base_link,25.260000228881836,0.0
1676469266.277375,2720,1676469266,272967880,base_link,25.26999855041504,0.0
1676469266.3365693,2721,1676469266,332914880,base_link,25.260000228881836,0.0
