Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1676104315.1824486,3208,1676104315,181416101,,0.0,0.22486013174057007,81,0.1599999964237213,3.810224771499634,0.1136576384305954
1676104315.2304275,3209,1676104315,229932950,,0.0,0.21684867143630981,81,0.1599999964237213,3.1232216358184814,0.09248421341180801
1676104315.2809918,3210,1676104315,280473060,,0.0,0.18150660395622253,81,0.1599999964237213,3.580343008041382,0.06336717307567596
1676104315.3320632,3211,1676104315,331530861,,0.0,0.1844482570886612,81,0.1599999964237213,4.122018814086914,0.03318578749895096
1676104315.3800845,3212,1676104315,379526483,,0.0,0.188418447971344,81,0.1599999964237213,3.6014814376831055,-0.03286810219287872
1676104315.43102,3213,1676104315,430553340,,0.0,0.18122975528240204,81,0.1599999964237213,3.2051336765289307,-0.0448635034263134
1676104315.4838068,3214,1676104315,481561401,,0.0,0.19862131774425507,80,0.1599999964237213,3.4984312057495117,-0.07395447790622711
1676104315.5310967,3215,1676104315,530464333,,0.0,0.19043095409870148,80,0.1599999964237213,3.7679479122161865,-0.08836627006530762
1676104315.5823023,3216,1676104315,581810607,,0.0,0.16373693943023682,80,0.1599999964237213,3.7679479122161865,-0.13182619214057922
1676104315.6312094,3217,1676104315,630622023,,0.0,0.1380804181098938,80,0.1599999964237213,3.4561538696289062,-0.1663646101951599
1676104315.6802127,3218,1676104315,679582767,,0.0,0.12363556772470474,80,0.1599999964237213,3.9344139099121094,-0.1931144893169403
1676104315.7338653,3219,1676104315,732269321,,0.0,0.10574091225862503,80,0.17000000178813934,3.1417179107666016,-0.18946649134159088
1676104315.7811668,3220,1676104315,779550573,,0.0,0.0875091701745987,80,0.1599999964237213,2.935617208480835,-0.20208074152469635
1676104315.8352249,3221,1676104315,833328469,,0.0,0.057126764208078384,80,0.17000000178813934,3.2262723445892334,-0.24328814446926117
1676104315.8809972,3222,1676104315,880526704,,0.0,0.07321053743362427,80,0.17000000178813934,2.999032735824585,-0.19269688427448273
1676104315.931179,3223,1676104315,930638289,,0.0,0.05531006678938866,80,0.17000000178813934,2.935617208480835,-0.18815019726753235
1676104315.9835052,3224,1676104315,981569260,,0.0,0.04635893926024437,79,0.17000000178813934,2.3939414024353027,-0.18433186411857605
1676104316.030896,3225,1676104316,30009168,,0.0,0.0644693449139595,79,0.1599999964237213,3.310826301574707,-0.1577436625957489
1676104316.081894,3226,1676104316,81433406,,0.0,0.08802690356969833,79,0.15000000596046448,3.310826301574707,-0.12410714477300644
1676104316.1301003,3227,1676104316,129609415,,0.0,0.08996786922216415,79,0.15000000596046448,1.9368202686309814,-0.10876210778951645
1676104316.1810222,3228,1676104316,180441058,,0.0,0.10592266172170639,79,0.12999999523162842,2.769150733947754,-0.1829545795917511
1676104316.2322474,3229,1676104316,231547638,,0.0,0.12993015348911285,79,0.11999999731779099,3.017528772354126,-0.2401544451713562
1676104316.2810118,3230,1676104316,279515523,,0.0,0.05535123869776726,79,0.09000000357627869,1.6646614074707031,0.12585687637329102
1676104316.331031,3231,1676104316,330474810,,0.0,0.07650921493768692,79,0.07000000029802322,2.2063369750976562,-0.038157228380441666
1676104316.38812,3232,1676104316,383117331,,0.0,0.06998097151517868,79,0.05000000074505806,1.9368202686309814,-0.017201537266373634
1676104316.4323745,3233,1676104316,429426889,,0.0,0.04795258864760399,78,0.05000000074505806,2.22747540473938,-0.03870469331741333
1676104316.4809396,3234,1676104316,480502637,,0.0,0.05589750409126282,78,0.0,1.5616108179092407,0.017814062535762787
